0,00 ;0,00 ;2,10 ;6,29 ;8,12 ;8,37 ;8,37 ;8,37 ;9,80 ;12,73 ;12,84 ;15,04 ;15,05 ;15,07 ;15,15 ;21,71 ;27,44 ;41,58 ;41,65 ;41,65 ;43,70 ;43,73 ;55,22 ;63,01 ;77,34 ;78,14 ;78,14 ;84,14 ;84,17 ;84,20 ;84,29 ;86,16 ;100,00
0,00 ;0,00 ;0,05 ;0,19 ;0,38 ;0,48 ;0,48 ;0,48 ;0,53 ;0,53 ;0,67 ;0,82 ;0,82 ;0,82 ;0,87 ;1,30 ;1,68 ;2,64 ;2,69 ;2,69 ;2,93 ;2,93 ;3,89 ;4,47 ;4,76 ;4,81 ;4,81 ;5,14 ;5,14 ;5,14 ;5,14 ;5,24 ;100,00
15,58 ;15,59 ;33,17 ;33,23 ;33,47 ;52,96 ;52,97 ;53,00 ;53,01 ;53,01 ;53,11 ;74,06 ;74,09 ;74,12 ;74,12 ;76,29 ;76,33 ;76,41 ;85,59 ;85,62 ;85,63 ;85,63 ;94,45 ;94,67 ;94,69 ;99,64 ;99,66 ;99,67 ;99,68 ;99,68 ;99,80 ;99,80 ;100,00
20,05 ;20,06 ;20,06 ;31,15 ;31,16 ;40,20 ;40,20 ;40,21 ;40,22 ;40,22 ;52,30 ;69,54 ;69,55 ;69,55 ;69,83 ;71,19 ;71,20 ;71,38 ;92,35 ;92,48 ;92,48 ;92,88 ;96,57 ;96,60 ;96,83 ;99,79 ;99,79 ;99,79 ;99,80 ;99,80 ;99,83 ;99,84 ;100,00
12,40 ;12,41 ;12,44 ;12,46 ;14,76 ;37,68 ;37,70 ;37,81 ;37,84 ;37,95 ;38,08 ;67,08 ;67,15 ;67,17 ;67,17 ;67,25 ;67,32 ;67,36 ;90,91 ;91,02 ;91,03 ;91,03 ;94,42 ;94,61 ;94,66 ;98,67 ;98,68 ;98,71 ;98,76 ;98,76 ;98,87 ;98,88 ;100,00
0,85 ;0,85 ;3,08 ;5,42 ;7,40 ;7,70 ;7,70 ;7,70 ;8,38 ;11,88 ;11,96 ;13,46 ;13,46 ;13,46 ;13,50 ;17,93 ;21,73 ;32,32 ;33,11 ;33,11 ;34,05 ;34,23 ;56,96 ;64,81 ;71,18 ;71,63 ;71,63 ;73,56 ;73,59 ;73,69 ;73,77 ;74,70 ;100,00
0,43 ;0,43 ;0,43 ;3,48 ;4,78 ;5,22 ;5,22 ;5,22 ;5,22 ;10,43 ;10,43 ;10,87 ;10,87 ;10,87 ;10,87 ;13,91 ;20,43 ;26,09 ;26,96 ;26,96 ;27,39 ;28,26 ;53,48 ;57,39 ;63,48 ;63,48 ;63,48 ;67,83 ;67,83 ;67,83 ;67,83 ;67,83 ;100,00
1,26 ;1,26 ;2,23 ;7,25 ;10,46 ;18,41 ;18,41 ;18,55 ;19,11 ;21,62 ;21,62 ;22,18 ;22,18 ;22,87 ;22,87 ;27,75 ;31,66 ;34,87 ;36,26 ;36,26 ;38,63 ;39,19 ;47,56 ;54,25 ;60,67 ;60,67 ;60,67 ;63,60 ;63,60 ;63,60 ;63,60 ;64,16 ;100,00
13,94 ;13,96 ;13,97 ;13,97 ;13,98 ;26,27 ;26,28 ;26,31 ;38,15 ;38,21 ;38,21 ;66,04 ;66,07 ;66,07 ;66,09 ;69,15 ;69,18 ;69,19 ;84,76 ;84,80 ;84,80 ;84,80 ;94,47 ;94,52 ;94,92 ;99,57 ;99,58 ;99,58 ;99,58 ;99,58 ;99,59 ;99,59 ;100,00
11,66 ;11,67 ;11,69 ;11,70 ;11,75 ;22,82 ;22,83 ;22,85 ;22,88 ;34,63 ;39,19 ;59,77 ;59,79 ;59,79 ;59,81 ;69,67 ;70,01 ;76,13 ;83,55 ;83,64 ;83,65 ;83,65 ;93,15 ;93,27 ;93,34 ;99,09 ;99,09 ;99,10 ;99,12 ;99,12 ;99,15 ;99,17 ;100,00
